train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.9836635589599609,0.017237555,36044800,7240,0.010938268899917603,371.14,2.830636739730835,0.0003,4978,0.2,10990,0.1564971923828125,4697.2303154,-37.895468139648436,-0.22147822380065918,-0.01893341913819313,1100,,
0.9814090728759766,0.018586453,36372480,7241,0.012492431839928032,385.26,2.8698642253875732,0.0003,5023,0.2,11090,0.1463165283203125,4932.136278260001,-38.09456119537354,-0.22330424189567566,-0.019784976611845195,1110,,
0.9847155809402466,0.018611297,36700160,7241,0.010330876475200057,390.33,2.9091436862945557,0.0003,5067,0.2,11190,0.1563018798828125,4938.27941258,-38.29144115447998,-0.22470608353614807,-0.020607596659101547,1120,,
0.9846189022064209,0.018078716,37000000,,0.010487763676792383,,2.956345558166504,0.0003,,0.2,11290,0.1461639404296875,,-38.49919471740723,-0.22584287822246552,-0.019786697870586067,,408.0,5560.0749274015425
,,37027840,7241,,383.72,,,5113,,,,4932.24727191,,,,1130,,
0.9826140403747559,0.016109794,37355520,7242,0.010556401405483484,386.64,3.0119988918304443,0.0003,5158,0.2,11390,0.140863037109375,4982.92203607,-38.75365371704102,-0.224853053689003,-0.01830442704958841,1140,,
0.9828848242759705,0.017058615,37683200,7242,0.011472362838685513,377.74,3.0587611198425293,0.0003,5202,0.2,11490,0.1454864501953125,4803.952205130001,-38.97881717681885,-0.22866730391979218,-0.019633923820219935,1150,,
0.9806672930717468,0.018478842,38000000,,0.012812426127493382,,3.108389139175415,0.0003,,0.2,11590,0.1497894287109375,,-39.17948760986328,-0.22799868881702423,-0.019308003352489323,,413.2,5538.026355166175
,,38010880,7242,,380.91,,,5248,,,,4873.6901279799995,,,,1160,,
0.9851555228233337,0.016657647,38338560,7242,0.00936659649014473,376.69,3.160881519317627,0.0003,5293,0.2,11690,0.1527984619140625,4800.75212704,-39.41914329528809,-0.22851763665676117,-0.01866155950119719,1170,,
0.9826669692993164,0.018213741,38666240,7243,0.01110186749137938,355.33,3.212994337081909,0.0003,5337,0.2,11790,0.1526519775390625,4548.71656095,-39.67748603820801,-0.2324419468641281,-0.020326359244063497,1180,,
