rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
2352.56114161,3004,10260,4858336,1616,421.23,-2.6651928424835205,606041,0.001982600660994649,0.0003,0.028620269149541855,-13.587909698486328,,
1611.54046875,3005,10270,4859424,1616,282.49,-1.408887505531311,606177,0.001948225894011557,0.0003,0.02638779580593109,-14.425851821899414,,
1055.7016160800001,3005,10280,4860712,1617,180.46,6.004654884338379,606338,0.0019407524960115552,0.0003,0.04160327464342117,-14.002492904663086,,
1458.1666415999998,3029,10290,4898424,1617,246.11,0.7226482033729553,611052,0.0015108910156413913,0.0003,0.026779286563396454,-13.9430513381958,,
2804.9136924900004,3032,10300,4904560,1617,493.84,1.0294737815856934,611819,0.0014171740040183067,0.0003,0.041193921118974686,-13.150409698486328,,
4209.56231081,3054,10310,4940800,1617,752.33,-3.7599222660064697,616349,0.0010151980677619576,0.0003,0.011554284952580929,-12.373922348022461,,
4911.120581239999,3059,10320,4948624,1617,903.9,1.9274802207946777,617327,0.0010004400974139571,0.0003,0.016519896686077118,-11.650226593017578,,
5912.355863419999,3079,10330,4981016,1617,1101.1,-5.181766510009766,621376,0.0008427644497714937,0.0003,0.007705405354499817,-11.170360565185547,,
5775.21124827,3081,10340,4983640,1617,1078.34,-2.6265923976898193,621704,0.0008001849637366831,0.0003,0.00948014110326767,-10.945404052734375,,
6130.8483088600005,3082,10350,4985456,1617,1156.43,-4.017819404602051,621931,0.0008089366019703448,0.0003,0.008692288771271706,-11.044845581054688,,
6074.520767570002,3082,10360,4986600,1617,1148.05,4.258378982543945,622074,0.0008185012848116457,0.0003,0.010540987364947796,-10.93281364440918,,
6002.8105939900015,3083,10370,4987552,1617,1137.35,-6.1301984786987305,622193,0.0008101026760414243,0.0003,0.010098233819007874,-10.79944133758545,,
5958.16488407,3084,10380,4988728,1617,1130.88,-2.410621166229248,622340,0.0007975526968948543,0.0003,0.013242121785879135,-10.889915466308594,,
